Filename;Algoritmo;Tempo (sec);Score;Matches;Mismatches;Gaps;;;;;;;;;;
EColi_Mala_100.fna;kalign;1.423180103302002;14047.0;3275;4532;386;;;;;;;;;;
EColi_Mala_200.fna;kalign;2.466243028640747;27864.0;6512;9108;760;;;;;;;;;;
EColi_Mala_300.fna;kalign;4.334571361541748;40330.0;9665;13763;1144;;;;;;;;;;
EColi_Mala_400.fna;kalign;6.679795026779175;54744.0;12956;18302;1484;;;;;;;;;;
EColi_Mala_500.fna;kalign;9.888609409332275;70204.0;16339;22716;1890;;;;;;;;;;
EColi_Meri_100.fna;kalign;1.4174613952636719;12939.0;3210;4595;390;;;;;;;;;;
EColi_Meri_200.fna;kalign;2.6051783561706543;25722.0;6403;9233;728;;;;;;;;;;
EColi_Meri_300.fna;kalign;4.218263387680054;38760.0;9718;13727;1110;;;;;;;;;;
EColi_Meri_400.fna;kalign;6.683058500289917;52296.0;13085;18152;1526;;;;;;;;;;
EColi_Meri_500.fna;kalign;9.974059820175171;65102.0;16238;22844;1836;;;;;;;;;;
EColi_Metha_100.fna;kalign;1.3857619762420654;11733.0;3102;4720;356;;;;;;;;;;
EColi_Metha_200.fna;kalign;2.4038712978363037;24301.0;6319;9311;740;;;;;;;;;;
EColi_Metha_300.fna;kalign;4.259791135787964;37252.0;9644;13825;1062;;;;;;;;;;
EColi_Metha_400.fna;kalign;6.643139839172363;48647.0;12672;18627;1402;;;;;;;;;;
EColi_Metha_500.fna;kalign;9.856123447418213;60545.0;15806;23316;1756;;;;;;;;;;
Meri_Mala_100.fna;kalign;1.4201734066009521;12883.0;3201;4612;374;;;;;;;;;;
Meri_Mala_200.fna;kalign;2.5253751277923584;25420.0;6313;9330;714;;;;;;;;;;
Meri_Mala_300.fna;kalign;4.247619152069092;37771.0;9440;14023;1074;;;;;;;;;;
Meri_Mala_400.fna;kalign;6.688062429428101;50904.0;12580;18680;1480;;;;;;;;;;
Meri_Mala_500.fna;kalign;9.9071204662323;64511.0;15760;23335;1810;;;;;;;;;;
Meri_Metha_100.fna;kalign;1.509972095489502;12391.0;3234;4599;334;;;;;;;;;;
Meri_Metha_200.fna;kalign;2.4546430110931396;24916.0;6533;9137;660;;;;;;;;;;
Meri_Metha_300.fna;kalign;4.236761808395386;37394.0;9854;13616;1060;;;;;;;;;;
Meri_Metha_400.fna;kalign;6.727401494979858;49735.0;13083;18250;1334;;;;;;;;;;
Meri_Metha_500.fna;kalign;9.82879638671875;62862.0;16564;22495;1882;;;;;;;;;;
Metha_Mala_100.fna;kalign;1.5333185195922852;12091.0;3134;4696;340;;;;;;;;;;
Metha_Mala_200.fna;kalign;2.407846212387085;24095.0;6232;9404;728;;;;;;;;;;
Metha_Mala_300.fna;kalign;4.27786660194397;35287.0;9234;14238;1056;;;;;;;;;;
Metha_Mala_400.fna;kalign;6.628962755203247;46781.0;12090;19241;1338;;;;;;;;;;
Metha_Mala_500.fna;kalign;9.89419937133789;57744.0;14942;24228;1660;;;;;;;;;;
EColi_Mala_100.fna;muscle;2.15529203414917;9053.0;3803;3041;2312;;;;;;;;;;
EColi_Mala_200.fna;muscle;5.5905680656433105;19055.0;7649;6073;4556;;;;;;;;;;
EColi_Mala_300.fna;muscle;15.13606882095337;27256.0;11349;9259;6784;;;;;;;;;;
EColi_Mala_400.fna;muscle;31.778571844100952;37601.0;15203;12276;9042;;;;;;;;;;
EColi_Mala_500.fna;muscle;50.37027359008789;47094.0;19097;15085;11636;;;;;;;;;;
EColi_Meri_100.fna;muscle;2.177074432373047;7898.0;3808;2976;2432;;;;;;;;;;
EColi_Meri_200.fna;muscle;6.803016662597656;16081.0;7657;5974;4738;;;;;;;;;;
EColi_Meri_300.fna;muscle;18.10138750076294;23807.0;11499;8975;7052;;;;;;;;;;
EColi_Meri_400.fna;muscle;32.71646213531494;31798.0;15324;11980;9392;;;;;;;;;;
EColi_Meri_500.fna;muscle;51.198182821273804;39371.0;19118;14922;11920;;;;;;;;;;
EColi_Metha_100.fna;muscle;2.202115058898926;7181.0;3713;3185;2204;;;;;;;;;;
EColi_Metha_200.fna;muscle;6.141287565231323;14730.0;7578;6118;4608;;;;;;;;;;
EColi_Metha_300.fna;muscle;18.449549198150635;20553.0;11518;8797;7370;;;;;;;;;;
EColi_Metha_400.fna;muscle;31.350125074386597;26760.0;15214;11908;9756;;;;;;;;;;
EColi_Metha_500.fna;muscle;48.20883536338806;32634.0;18909;14961;12260;;;;;;;;;;
Meri_Mala_100.fna;muscle;2.128988027572632;8889.0;3832;3039;2258;;;;;;;;;;
Meri_Mala_200.fna;muscle;6.0004119873046875;15249.0;7484;6097;4838;;;;;;;;;;
Meri_Mala_300.fna;muscle;15.739291906356812;22220.0;11173;9143;7368;;;;;;;;;;
Meri_Mala_400.fna;muscle;31.56717085838318;30267.0;14873;12230;9794;;;;;;;;;;
Meri_Mala_500.fna;muscle;48.605225801467896;38606.0;18558;15369;12146;;;;;;;;;;
Meri_Metha_100.fna;muscle;2.2074358463287354;7023.0;3887;2944;2338;;;;;;;;;;
Meri_Metha_200.fna;muscle;7.083365201950073;15509.0;7865;5894;4482;;;;;;;;;;
Meri_Metha_300.fna;muscle;17.113051652908325;20785.0;11669;8728;7206;;;;;;;;;;
Meri_Metha_400.fna;muscle;32.25012516975403;29294.0;15526;11892;9164;;;;;;;;;;
Meri_Metha_500.fna;muscle;50.14877438545227;36634.0;19408;14831;11522;;;;;;;;;;
Metha_Mala_100.fna;muscle;2.2338767051696777;5640.0;3700;3010;2580;;;;;;;;;;
Metha_Mala_200.fna;muscle;6.270648241043091;13362.0;7411;6168;4842;;;;;;;;;;
Metha_Mala_300.fna;muscle;16.56839346885681;19694.0;10971;9438;7182;;;;;;;;;;
Metha_Mala_400.fna;muscle;33.75148391723633;24251.0;14367;12749;9768;;;;;;;;;;
Metha_Mala_500.fna;muscle;51.44649124145508;29115.0;17814;16007;12358;;;;;;;;;;
EColi_Mala_100.fna;t_coffee;5.594773292541504;14208.0;3365;4368;534;;;;;;;;;;
EColi_Mala_200.fna;t_coffee;14.787224292755127;28510.0;6753;8704;1086;;;;;;;;;;
EColi_Mala_300.fna;t_coffee;31.684748649597168;41086.0;10008;13171;1642;;;;;;;;;;
EColi_Mala_400.fna;t_coffee;51.63832879066467;56075.0;13461;17460;2158;;;;;;;;;;
EColi_Mala_500.fna;t_coffee;82.27483606338501;71639.0;16954;21681;2730;;;;;;;;;;
EColi_Meri_100.fna;t_coffee;5.1360859870910645;12812.0;3375;4306;638;;;;;;;;;;
EColi_Meri_200.fna;t_coffee;14.558022499084473;25983.0;6713;8725;1124;;;;;;;;;;
EColi_Meri_300.fna;t_coffee;33.01945519447327;39140.0;10200;12968;1664;;;;;;;;;;
EColi_Meri_400.fna;t_coffee;55.16765308380127;52639.0;13587;17336;2154;;;;;;;;;;
EColi_Meri_500.fna;t_coffee;82.38953423500061;65892.0;16934;21722;2688;;;;;;;;;;
EColi_Metha_100.fna;t_coffee;5.062817335128784;11663.0;3221;4513;532;;;;;;;;;;
EColi_Metha_200.fna;t_coffee;14.211942195892334;24526.0;6615;8828;1114;;;;;;;;;;
EColi_Metha_300.fna;t_coffee;31.625136137008667;37325.0;10145;12998;1714;;;;;;;;;;
EColi_Metha_400.fna;t_coffee;53.58547329902649;49676.0;13461;17429;2220;;;;;;;;;;
EColi_Metha_500.fna;t_coffee;82.30555629730225;61432.0;16674;21973;2706;;;;;;;;;;
Meri_Mala_100.fna;t_coffee;5.027403831481934;13057.0;3274;4497;458;;;;;;;;;;
Meri_Mala_200.fna;t_coffee;14.361670017242432;25454.0;6476;9038;972;;;;;;;;;;
Meri_Mala_300.fna;t_coffee;30.824748516082764;38708.0;9867;13343;1580;;;;;;;;;;
Meri_Mala_400.fna;t_coffee;53.69075083732605;52143.0;13156;17785;2118;;;;;;;;;;
Meri_Mala_500.fna;t_coffee;81.49399995803833;65674.0;16366;22367;2534;;;;;;;;;;
Meri_Metha_100.fna;t_coffee;5.4491376876831055;12508.0;3392;4353;510;;;;;;;;;;
Meri_Metha_200.fna;t_coffee;15.183413028717041;24837.0;6848;8607;1090;;;;;;;;;;
Meri_Metha_300.fna;t_coffee;31.53651785850525;37610.0;10292;12892;1632;;;;;;;;;;
Meri_Metha_400.fna;t_coffee;55.08766007423401;50442.0;13733;17215;2104;;;;;;;;;;
Meri_Metha_500.fna;t_coffee;82.41946649551392;63178.0;17247;21395;2716;;;;;;;;;;
Metha_Mala_100.fna;t_coffee;5.1072752475738525;12509.0;3307;4426;534;;;;;;;;;;
Metha_Mala_200.fna;t_coffee;15.244792938232422;24740.0;6521;8951;1056;;;;;;;;;;
Metha_Mala_300.fna;t_coffee;30.896352529525757;36102.0;9617;13580;1606;;;;;;;;;;
Metha_Mala_400.fna;t_coffee;53.505759954452515;47614.0;12648;18294;2116;;;;;;;;;;
Metha_Mala_500.fna;t_coffee;82.84215307235718;58636.0;15606;23130;2528;;;;;;;;;;
EColi_Mala_100.fna;clustalw;4.117619276046753;16944;;;;;;;;;;;;;
EColi_Mala_200.fna;clustalw;12.299511909484863;34279;;;;;;;;;;;;;
EColi_Mala_300.fna;clustalw;28.547663927078247;49524;;;;;;;;;;;;;
EColi_Mala_400.fna;clustalw;50.60819864273071;67459;;;;;;;;;;;;;
EColi_Mala_500.fna;clustalw;75.3497371673584;85885;;;;;;;;;;;;;
EColi_Meri_100.fna;clustalw;3.946502447128296;15524;;;;;;;;;;;;;
EColi_Meri_200.fna;clustalw;12.082224607467651;30711;;;;;;;;;;;;;
EColi_Meri_300.fna;clustalw;28.79272437095642;45623;;;;;;;;;;;;;
EColi_Meri_400.fna;clustalw;50.885703563690186;61066;;;;;;;;;;;;;
EColi_Meri_500.fna;clustalw;75.99730181694031;76744;;;;;;;;;;;;;
EColi_Metha_100.fna;clustalw;3.8108553886413574;13590;;;;;;;;;;;;;
EColi_Metha_200.fna;clustalw;12.240913391113281;28753;;;;;;;;;;;;;
EColi_Metha_300.fna;clustalw;27.670790672302246;43397;;;;;;;;;;;;;
EColi_Metha_400.fna;clustalw;47.926791191101074;57323;;;;;;;;;;;;;
EColi_Metha_500.fna;clustalw;78.88591504096985;70903;;;;;;;;;;;;;
Meri_Mala_100.fna;clustalw;3.8549230098724365;15376;;;;;;;;;;;;;
Meri_Mala_200.fna;clustalw;12.367797613143921;30041;;;;;;;;;;;;;
Meri_Mala_300.fna;clustalw;29.597556591033936;45625;;;;;;;;;;;;;
Meri_Mala_400.fna;clustalw;50.01918697357178;61523;;;;;;;;;;;;;
Meri_Mala_500.fna;clustalw;79.03514313697815;77452;;;;;;;;;;;;;
Meri_Metha_100.fna;clustalw;3.9362616539001465;14209;;;;;;;;;;;;;
Meri_Metha_200.fna;clustalw;12.178974866867065;28685;;;;;;;;;;;;;
Meri_Metha_300.fna;clustalw;28.619298458099365;43310;;;;;;;;;;;;;
Meri_Metha_400.fna;clustalw;51.03407382965088;57615;;;;;;;;;;;;;
Meri_Metha_500.fna;clustalw;79.69494652748108;72483;;;;;;;;;;;;;
Metha_Mala_100.fna;clustalw;3.822953939437866;14285;;;;;;;;;;;;;
Metha_Mala_200.fna;clustalw;12.68287181854248;28304;;;;;;;;;;;;;
Metha_Mala_300.fna;clustalw;29.92719793319702;41909;;;;;;;;;;;;;
Metha_Mala_400.fna;clustalw;50.70652365684509;55543;;;;;;;;;;;;;
Metha_Mala_500.fna;clustalw;77.48814988136292;68336;;;;;;;;;;;;;
EColi_Mala_100.fna;Before alignment;;6346.0;2035;5965;0;;;;;;;;;;
EColi_Mala_200.fna;Before alignment;;11781.0;4004;11996;0;;;;;;;;;;
EColi_Mala_300.fna;Before alignment;;17094.0;5934;18066;0;;;;;;;;;;
EColi_Mala_400.fna;Before alignment;;23197.0;7974;24026;0;;;;;;;;;;
EColi_Mala_500.fna;Before alignment;;28880.0;9972;30028;0;;;;;;;;;;
EColi_Meri_100.fna;Before alignment;;5427.0;1925;6075;0;;;;;;;;;;
EColi_Meri_200.fna;Before alignment;;11155.0;3882;12118;0;;;;;;;;;;
EColi_Meri_300.fna;Before alignment;;17572.0;5970;18030;0;;;;;;;;;;
EColi_Meri_400.fna;Before alignment;;22715.0;7876;24124;0;;;;;;;;;;
EColi_Meri_500.fna;Before alignment;;28956.0;9893;30107;0;;;;;;;;;;
EColi_Metha_100.fna;Before alignment;;5675.0;1935;6065;0;;;;;;;;;;
EColi_Metha_200.fna;Before alignment;;11764.0;3974;12026;0;;;;;;;;;;
EColi_Metha_300.fna;Before alignment;;18433.0;6096;17904;0;;;;;;;;;;
EColi_Metha_400.fna;Before alignment;;24413.0;8112;23888;0;;;;;;;;;;
EColi_Metha_500.fna;Before alignment;;29479.0;10024;29976;0;;;;;;;;;;
Meri_Mala_100.fna;Before alignment;;6393.0;2027;5973;0;;;;;;;;;;
Meri_Mala_200.fna;Before alignment;;12203.0;4014;11986;0;;;;;;;;;;
Meri_Mala_300.fna;Before alignment;;17328.0;5922;18078;0;;;;;;;;;;
Meri_Mala_400.fna;Before alignment;;22892.0;7846;24154;0;;;;;;;;;;
Meri_Mala_500.fna;Before alignment;;28222.0;9754;30246;0;;;;;;;;;;
Meri_Metha_100.fna;Before alignment;;6686.0;2115;5885;0;;;;;;;;;;
Meri_Metha_200.fna;Before alignment;;13493.0;4306;11694;0;;;;;;;;;;
Meri_Metha_300.fna;Before alignment;;19914.0;6423;17577;0;;;;;;;;;;
Meri_Metha_400.fna;Before alignment;;25968.0;8444;23556;0;;;;;;;;;;
Meri_Metha_500.fna;Before alignment;;32421.0;10569;29431;0;;;;;;;;;;
Metha_Mala_100.fna;Before alignment;;5793.0;1952;6048;0;;;;;;;;;;
Metha_Mala_200.fna;Before alignment;;10257.0;3748;12252;0;;;;;;;;;;
Metha_Mala_300.fna;Before alignment;;15108.0;5602;18398;0;;;;;;;;;;
Metha_Mala_400.fna;Before alignment;;20015.0;7386;24614;0;;;;;;;;;;
Metha_Mala_500.fna;Before alignment;;24805.0;9238;30762;0;;;;;;;;;;
EColi_Mala;kalign;4.95847978591919;41437.8;9749;13684;1132;;;;;;;;;;
EColi_Meri;kalign;4.979604291915893;38963.8;9730;13710;1118;;;;;;;;;;
EColi_Metha;kalign;4.909737539291382;36495.6;9508;13959;1063;;;;;;;;;;
Meri_Mala;kalign;4.957670116424561;38297.8;9458;13996;1090;;;;;;;;;;
Meri_Metha;kalign;4.951514959335327;37459.6;9853;13619;1054;;;;;;;;;;
Metha_Mala;kalign;4.948438692092895;35199.6;9126;14361;1024;;;;;;;;;;
EColi_Mala;muscle;21.00615487098694;28011.8;11420;9146;6866;;;;;;;;;;
EColi_Meri;muscle;22.199224710464478;23791.0;11481;8965;7106;;;;;;;;;;
EColi_Metha;muscle;21.27038245201111;20371.6;11386;8993;7239;;;;;;;;;;
Meri_Mala;muscle;20.80821771621704;23046.2;11184;9175;7280;;;;;;;;;;
Meri_Metha;muscle;21.760550451278686;21849.0;11671;8857;6942;;;;;;;;;;
Metha_Mala;muscle;22.054178714752197;18412.4;10852;9474;7346;;;;;;;;;;
EColi_Mala_t;coffee;37.195982217788696;42303.6;10108;13076;1630;;;;;;;;;;
EColi_Meri_t;coffee;38.05415019989014;39293.2;10161;13011;1653;;;;;;;;;;
EColi_Metha_t;coffee;37.358185052871704;36924.4;10023;13148;1657;;;;;;;;;;
Meri_Mala_t;coffee;37.0797146320343;39007.2;9827;13406;1532;;;;;;;;;;
Meri_Metha_t;coffee;37.93523902893067;37715.0;10302;12892;1610;;;;;;;;;;
Metha_Mala_t;coffee;37.51926674842834;35920.2;9539;13676;1568;;;;;;;;;;
EColi_Mala;clustalw;34.1845461845398;50818.2;0;0;0;;;;;;;;;;
EColi_Meri;clustalw;34.34089136123657;45933.6;0;0;0;;;;;;;;;;
EColi_Metha;clustalw;34.10705313682556;42793.2;0;0;0;;;;;;;;;;
Meri_Mala;clustalw;34.974921464920044;46003.4;0;0;0;;;;;;;;;;
Meri_Metha;clustalw;35.09271106719971;43260.4;0;0;0;;;;;;;;;;
Metha_Mala;clustalw;34.92553944587708;41675.4;0;0;0;;;;;;;;;;
EColi_Mala;Before alignment;0.0;17459.6;5983;18016;0;;;;;;;;;;
EColi_Meri;Before alignment;0.0;17165.0;5909;18090;0;;;;;;;;;;
EColi_Metha;Before alignment;0.0;17952.8;6028;17971;0;;;;;;;;;;
Meri_Mala;Before alignment;0.0;17407.6;5912;18087;0;;;;;;;;;;
Meri_Metha;Before alignment;0.0;19696.4;6371;17628;0;;;;;;;;;;
Metha_Mala;Before alignment;0.0;15195.6;5585;18414;0;;;;;;;;;;
Algorithm;kalign;4.950907564163208;37975.7;9571;13888;1080;;;;;;;;;;
Algorithm;muscle;21.51645148595174;22580.333333333332;11332;9102;7130;;;;;;;;;;
Algorithm;t_coffee;37.52375631332397;38527.26666666667;9993;13201;1608;;;;;;;;;;
Algorithm;clustalw;34.604277110099794;45080.7;0;0;0;;;;;;;;;;
Algorithm;Before alignment;0.0;17479.5;5965;18034;0;;;;;;;;;;
Number_100;kalign;1.4483112494150798;12680.666666666666;3192;4625;363;;;;;;;;;;
Number_100;muscle;2.1841303507486978;7614.0;3790;3032;2354;;;;;;;;;;
Number_100;t_coffee;5.229582230250041;12792.833333333334;3322;4410;534;;;;;;;;;;
Number_100;clustalw;3.9148526191711426;14988.0;0;0;0;;;;;;;;;;
Number_100;Before alignment;0.0;6053.333333333333;1998;6001;0;;;;;Número de linhas;KALIGN;MUSCLE;T-COFFEE;CLUSTALW;NONE
Number_200;kalign;2.477192838986715;25386.333333333332;6385;9253;721;;;;;100 linhas;12680,66667;7614;12792,83333;14988;6053,333333
Number_200;muscle;6.31488295396169;15664.333333333334;7607;6054;4677;;;;;200 linhas;25386,33333;15664,33333;25675;30128,83333;11775,5
Number_200;t_coffee;14.72451082865397;25675.0;6654;8808;1073;;;;;300 linhas;37799;22385,83333;38328,5;44898;17574,83333
Number_200;clustalw;12.30871570110321;30128.833333333332;0;0;0;;;;;400 linhas;50517,83333;29995,16667;51431,5;60088,16667;23200
Number_200;Before alignment;0.0;11775.5;3988;12012;0;;;;;500 linhas;63494,66667;37242,33333;64408,5;75300,5;28793,83333
Number_300;kalign;4.262478907903035;37799.0;9592;13865;1084;;;;;;;;;;
Number_300;muscle;16.851290424664814;22385.833333333332;11363;9056;7160;;;;;;;;;;
Number_300;t_coffee;31.59782648086548;38328.5;10021;13158;1639;;;;;;;;;;
Number_300;clustalw;28.859205325444538;44898.0;0;0;0;;;;;;;;;;
Number_300;Before alignment;0.0;17574.833333333332;5991;18008;0;;;;;;;;;;
Number_400;kalign;6.67507000764211;50517.833333333336;12744;18542;1427;;;;;;;;;;
Number_400;muscle;32.23565649986267;29995.166666666668;15084;12172;9486;;;;;;;;;;
Number_400;t_coffee;53.77927100658417;51431.5;13341;17586;2145;;;;;;;;;;
Number_400;clustalw;50.19674630959829;60088.166666666664;0;0;0;;;;;;;;;;
Number_400;Before alignment;0.0;23200.0;7939;24060;0;;;;;;;;;;
Number_500;kalign;9.8914848168691;63494.666666666664;15941;23155;1805;;;;;;;;;;
Number_500;muscle;49.996297200520836;37242.333333333336;18817;15195;11973;;;;;;;;;;
Number_500;t_coffee;82.28759102026622;64408.5;16630;22044;2650;;;;;;;;;;
Number_500;clustalw;77.74186559518178;75300.5;0;0;0;;;;;;;;;;
Number_500;Before alignment;0.0;28793.833333333332;9908;30091;0;;;;;;;;;;
